Bogotá	Cundinamarca
Medellín	Antioquia
Cali	Valle del Cauca
Barranquilla	Atlántico
Cartagena	Bolívar
Cúcuta	Norte de Santander
Bucaramanga	Santander
Ibagué	Tolima
Soledad	Atlántico
Pereira	Risaralda
Santa Marta	Magdalena
Soacha	Cundinamarca
San Juan de Pasto	Nariño
Montería	Córdoba
Villavicencio	Meta
Manizales	Caldas
Bello	Antioquia
Valledupar	Cesar
Neiva	Huila
Buenaventura	Valle del Cauca
Palmira	Valle del Cauca
Armenia	Quindío
Popayán	Cauca
Floridablanca	Santander
Sincelejo	Sucre
Itagüí	Antioquia
Magangué	Bolívar
Tuluá	Valle del Cauca
Barrancabermeja	Santander
Dosquebradas	Risaralda
Envigado	Antioquia
Riohacha	La Guajira
Cartago	Valle del Cauca
Guadalajara de Buga	Valle del Cauca
Tunja	Boyacá
Florencia	Caquetá
Villa del Rosario	Norte de Santander
Apartadó	Antioquia
Tumaco	Nariño
Maicao	La Guajira
Turbo	Antioquia
Uribia	La Guajira
Piedecuesta	Santander
Sogamoso	Boyacá
Quibdó	Chocó
Santa Cruz de Lorica	Córdoba
Ipiales	Nariño
Fusagasugá	Cundinamarca
Facatativá	Cundinamarca
Duitama	Boyacá
Yopal	Casanare
Ocaña	Norte de Santander
Pitalito	Huila
Ciénaga	Magdalena
Zipaquirá	Cundinamarca
Malambo	Atlántico
Rionegro	Antioquia
Chía	Cundinamarca
Girardot	Cundinamarca
Jamundí	Valle del Cauca
Yumbo	Valle del Cauca
Sahagún	Córdoba
Caucasia	Antioquia
Sabanalarga	Atlántico
Cereté	Córdoba
Aguachica	Cesar
Santander de Quilichao	Cauca
Tierralta	Córdoba
Espinal	Tolima
Arauca	Arauca
Calarcá	Quindío
Montelíbano	Córdoba
La Dorada	Caldas
Candelaria	Valle del Cauca
Santa Rosa de Cabal	Risaralda
San Juan de Girón	Santander
Garzón	Huila
Caldas	Antioquia
Carmen de Bolivar	Bolívar
Manaure	La Guajira
Los Patios	Norte de Santander
San Andrés	Archipiélago de San Andrés
Mosquera	Cundinamarca
San Andrés de Sotavento	Córdoba
Turbaco	Bolívar
Madrid	Cundinamarca
Planeta Rica	Córdoba
Funza	Cundinamarca
Copacabana	Antioquia
Arjona	Bolívar
Chigorodó	Antioquia
Corozal	Sucre
Zona Bananera	Magdalena
Fundación	Magdalena
San Vicente del Caguán	Caquetá
Florida	Valle del Cauca
